(11-1)*2	20
316+230*(6-1)	1466
	None
16*4/2	32
28.4*1.4	39.76
(10.6-0.4*5.5)/2.1	4
(350-280)/700	10%
28/2	14
70*6/4	105
1680/(7/8)/(5/6)	2304
24-(24-4)*(3/8)-4	12.5
3120/(3120/48+15)	39
(450-25-45*5)/5	40
(111*66-185*8)/37	158
15-4	11
25*3+10	85
4500*2-1000	8000
(25+14)/(1-(1/5)-(1/5))	65
16.5*2.1/5	6.93
3*12+7	43
(25+23)/8	6
20-(20*5-70)/(5+1)	15
(140*30+480)/40	117
	None
	None
0.01*72	0.72
50*12*3	1800
36*(1-(5/9))/(1-(11/19))-36	2
	None
(5-1.5)/0.35	10
5.6/0.8*2.5	17.5
(1/7)+(2/7)+(1/7)	((4)/(7))
35/((2/3)+45%-1)	300
10.8/(24-18)	1.8
44*20	880
(1-1/9*3)/(1/6)	4
	None
1200*(1/4)	300
84*((1)/(1+20))	4
(36-5)*3	93
50*(18+22)	2000
1+(1/4)	((5)/(4))
24/(2/5)	60
(3.5+2.7)+3.5	9.7
1600*(1+(3/10))*(1-(1/5))	1664
12/3	4
480/3	160
(50+70)/(1/4)	480
50+20/2	60
(38-22)/(1/9)	144
23*42+26*40	2006
61.75/0.95-61.75	3.25
1993+1994+1995+1996+1997+1998+1999+2000	15972
24*19+19	475
2070/15-65	73
182/(20-18)	91
1-(1/3)-(1/5)	((7)/(15))
18-3-7	8
(24-6)/2	9
8*(3/4)	6
180*13	2340
(75.5+65.5)*4.5	634.5
3.14*3*100/2	471
25+52	77
	None
15/(4-1)*4	20
	None
(29-5)/1.5+4	20
	None
	None
8*4.5	36
91/(2+5)*(5-2)	39
120/(3/4)/(4/5)	200
(510-40*6)/6	45
(24/33)/6	((4)/(33))
171/(247/13)	9
	None
(1998*1.6-3059.6)/(18+1.6)	7
800*(3/4)	600
(185+65)*3	750
	None
5.2*8/4	10.4
(145+5)/(5/6)	180
	None
(384-64)/(38+42)	4
	None
1.09*140	152.6
36000*(1+(1/4))	45000
150*2-50	250
120/4-14	16
585/0.9	650
((10/3)+(1/3))-((5/6)+(4/5))	((61)/(30))
568/(154+130)	2
30/((2/5)+75%-1)+30	230
30*(4/5)*(3/4)	18
9-(6-2)	5
5*7+3	38
72/5*4*10	576
288/32	9
23*7+3	164
45*8+42*8	696
(125-100)/100	25%
(250-30*3)/40	4
90*(1/3)/(1/4)	120
192/32-192/48	2
2.2/((5/6)-(3/8))*(3/8)	1.8
(270-30)/(2/3)	360
(4/5)*(3/4)*(1/6)	((1)/(10))
75/15	5
21*20/28	15
46-(12+23-5)	16
12/(2/7)	42
136*2-16	256
45*4/60	3
420.08*2.3-420.08	546.104
18-360*18/(360+72)	3
72.6/3/4	6.05
(3000-750)/15	150
4.5/1.5	3
42*3-18-42	66
(550-52*3.5)/4	92
30.4*7/(7-3)	53.2
	None
	None
9*105-850	95
(120-45)/5	15
3600/(1+(1/8))	3200
1*(4/7)/4	((1)/(7))
54/(9/14)	84
90+90*3	360
(9-1)*80	640
	None
240/60%-240	160
120*(5/6)*(2/5)	40
25/(((3)/(3+7))-((1)/(1+4)))	250
	None
1800/(1+(2/3))*(2/3)	720
2/(2+200)	((1)/(101))
35/5*10	70
12*(3/4)+12	21
4/(16+4)	20%
540/(360/8)	12
2000-128*15	80
(48-3)/5	9
63/(1+(4/5))	35
8*6*(4.2-4)/(3*2)	1.6
	None
312/13/4	6
67.5/5/3	4.5
240*(1/6)	40
24/10*15	36
	None
2400-2400*(1/4)-(2400-2400*(1/4))*(1/3)	1200
1/(9/7)-(6/7)/(6/5)	((4)/(63))
